act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven
7.474369698778016158e-01,4.963991113159222368e-01,4.956754181179887087e-01,1.559630786334166054e-02,5.028015583167807501e-01,4.976950821946438674e-01,4.950022250796943801e-01
7.447130532934439495e-01,4.944452516563602740e-01,4.954200053387379787e-01,3.108582451527761026e-02,5.045180535981130809e-01,4.997676068736234822e-01,4.954495643278957751e-01
7.367509255871941276e-01,4.875986864001174426e-01,4.998518756647944428e-01,6.292727767424065310e-02,5.039819975011132769e-01,5.015056976093330565e-01,4.878766871361316926e-01
7.287886799734001331e-01,4.796376653817889246e-01,5.040527161569220427e-01,9.477040129677777314e-02,5.025334726979615585e-01,5.061067886790134862e-01,4.784125570561115759e-01
7.208264303059946920e-01,4.722313089319992163e-01,5.104845393127078745e-01,1.266141361784862696e-01,4.987529009821261017e-01,5.101719013759362653e-01,4.762313968210916681e-01
7.128641975965892552e-01,4.696507833767547546e-01,5.148387330517307792e-01,1.584594591214974757e-01,4.991760425486738151e-01,5.108523790353417526e-01,4.744783909794040855e-01
7.049019674274333846e-01,4.679348091265640441e-01,5.163256694847462303e-01,1.903042315050087752e-01,5.025796029053074543e-01,5.124789763875595705e-01,4.769762997037061969e-01
6.969397462736846016e-01,4.669043543532767626e-01,5.158864261931453976e-01,2.221487075796067523e-01,5.057295730536659484e-01,5.100530798630786844e-01,4.743497414123133415e-01
6.889775357972436343e-01,4.658073278903239189e-01,5.133349296261346950e-01,2.539927668920246573e-01,5.086564603446999122e-01,5.061437910198550716e-01,4.698855404380413159e-01
6.810153362607430649e-01,4.653794540798943391e-01,5.108466038922643282e-01,2.858372704401143105e-01,5.099657525897223209e-01,5.033023398666583992e-01,4.669414310455201056e-01
6.730531483117889735e-01,4.654242792060666045e-01,5.095584840005397131e-01,3.176820167901684422e-01,5.094887953940709924e-01,5.017350315750949141e-01,4.659639746454565246e-01
6.650909738664682047e-01,4.655330447135878069e-01,5.091570984746921491e-01,3.495267186891449773e-01,5.057278087144316814e-01,4.993104506662623954e-01,4.662345423214185880e-01
6.571288146458071910e-01,4.657379582728987666e-01,5.104980701962108514e-01,3.813713038064598382e-01,5.026009706354699347e-01,4.946226710815690431e-01,4.663228480450490321e-01
6.491666776880993250e-01,4.652750966718487979e-01,5.084815259365614848e-01,4.132153077797073859e-01,4.992077826983188915e-01,4.883368644914036216e-01,4.642661355929039169e-01
6.412045571655662357e-01,4.659545225050423234e-01,5.057581322093143150e-01,4.450595189138975005e-01,4.932154318401880122e-01,4.817479297063592680e-01,4.684218911968556220e-01
6.332424529790873224e-01,4.661400021021374629e-01,5.046403372666465881e-01,4.769042926996837073e-01,4.889970804097893420e-01,4.758978970037497924e-01,4.737714249190255189e-01
6.252803688988229913e-01,4.649842987780923309e-01,5.039432468124021014e-01,5.087488793267053167e-01,4.880200562936267139e-01,4.708477803124974659e-01,4.801008803841428363e-01
6.173183122479194429e-01,4.638481998652023708e-01,5.016645092221366786e-01,5.405931292354071438e-01,4.909129377788644111e-01,4.650994340941208005e-01,4.843293580126068476e-01
6.093562741230029722e-01,4.634112168362232720e-01,5.012114370369010752e-01,5.724379211407144563e-01,4.979235877785250786e-01,4.598376777268764481e-01,4.892109381709278670e-01
6.013942644547227712e-01,4.619309972847652768e-01,4.980207551752686146e-01,6.042817019715652771e-01,4.995137980661067956e-01,4.551522453393072043e-01,4.981899083780090831e-01
5.934322836094363396e-01,4.604392245308080445e-01,4.940750585083661384e-01,6.361257625834106921e-01,4.961578778794765721e-01,4.499658723839526364e-01,4.987657534392181402e-01
5.854703272389661928e-01,4.587437814370989853e-01,4.905268910123770087e-01,6.679702338543684892e-01,4.913737197914822552e-01,4.443879228179876129e-01,4.961591492370006629e-01
5.775084000004901963e-01,4.569828377520672724e-01,4.868028274189676874e-01,6.998145941048388163e-01,4.835724936360840109e-01,4.390278314544185934e-01,4.940548013103285840e-01
5.695465030393913608e-01,4.568798689096372212e-01,4.835558226822362360e-01,7.316592212525440120e-01,4.756110153927888273e-01,4.334018784260856849e-01,4.907724368276523141e-01
5.615846338439864915e-01,4.579330086673330524e-01,4.808431557757347208e-01,7.635038974710285364e-01,4.676496835868478308e-01,4.269219043589456697e-01,4.877805964500213087e-01
5.536227979396697307e-01,4.595091524206345590e-01,4.769215310262212570e-01,7.953480922000961684e-01,4.622060641909574996e-01,4.211792788900048934e-01,4.837551530810293987e-01
5.456609849708965454e-01,4.611796632980393329e-01,4.740530280642550331e-01,8.271929952395825625e-01,4.660512082045754068e-01,4.155658686713908923e-01,4.775640926880207471e-01
5.378284150725275436e-01,4.605044148354419109e-01,4.708477626672066263e-01,8.590376347342983943e-01,4.694622827833754841e-01,4.100088065077567290e-01,4.755518283640368105e-01
5.364312313372995300e-01,4.601082701977912692e-01,4.691572652480115457e-01,8.908829216337001977e-01,4.715146119470541297e-01,4.081303624700409194e-01,4.674723839273188242e-01
5.377826852075214825e-01,4.605054437642753795e-01,4.679601287187356018e-01,9.227263925125813726e-01,4.748039798793823874e-01,4.116956351088746913e-01,4.668916080218112885e-01
5.405928818242330403e-01,4.618563249900054513e-01,4.664708230446734660e-01,9.545682232394143707e-01,4.775794134414945158e-01,4.162214295812418086e-01,4.673100311485903213e-01
5.448794897853480590e-01,4.639911015127691774e-01,4.639526230776159221e-01,9.852412880350919222e-01,4.778789826147811226e-01,4.205672051251803656e-01,4.665627423268549623e-01
5.471830129322150515e-01,4.651041119394084267e-01,4.600073390060680500e-01,9.963094990700254172e-01,4.746051802043077528e-01,4.198518994111831160e-01,4.641353888133288863e-01
5.467558729298541698e-01,4.652817318184905293e-01,4.571875776209452513e-01,9.990768213860402591e-01,4.697215401666522960e-01,4.187732654435689095e-01,4.591373634844367335e-01
5.456662724377441265e-01,4.651807233276492592e-01,4.555016625642968608e-01,9.997685349437495095e-01,4.645135175025801866e-01,4.186259295187885754e-01,4.576451802849416661e-01
