arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z
7.499993265530616737e-01,4.999993305804508181e-01,4.999996265542052121e-01,-7.360130062388098053e-07,5.000001669068315779e-01,5.000092770635017336e-01,4.984130028106092403e-01,8.001620753903438965e-01,7.965029524214987111e-01,5.050227878322054165e-02,9.491839199152105611e-01,1.072392115489021913e+00,2.514671369310565452e-01
7.435481151873407635e-01,4.931274884472117703e-01,4.940050669341452538e-01,3.184036193717164342e-02,5.057288962884811667e-01,4.904144220854743108e-01,4.985799730317281298e-01,8.001620753903438965e-01,8.012718092598374309e-01,5.050227878322054165e-02,9.521031040579810423e-01,1.062870515998054488e+00,2.828995283055452115e-01
7.355859852430978174e-01,4.872693246792376143e-01,4.964173800537497461e-01,6.368264184027672137e-02,5.099528702174858097e-01,4.831946858904408448e-01,4.950022209392863637e-01,8.001620753903438965e-01,8.043052821644030015e-01,5.050227878322053471e-02,9.518415377542011058e-01,1.046527773936646089e+00,3.101199429441834909e-01
7.276237551964207517e-01,4.843258606438918257e-01,4.979853711453829379e-01,9.552702425630643646e-02,5.098073926776054421e-01,4.768405416793670692e-01,4.920459851094183823e-01,8.001620753903438965e-01,8.062460971500727824e-01,5.050227878322053471e-02,9.502836588300498377e-01,1.030676658911982235e+00,3.242949816358735582e-01
7.196615147820994984e-01,4.830220403873094481e-01,5.001698485382380932e-01,1.273714067135248429e-01,5.081205641322880107e-01,4.712825097617518444e-01,4.901199799377849997e-01,8.001620753903438965e-01,8.074878300614525273e-01,5.050227878322053471e-02,9.478603971890386948e-01,1.015521953987007064e+00,3.314992169902213348e-01
7.116992743641554764e-01,4.822900908918525409e-01,5.005156396459214951e-01,1.592158423713262716e-01,5.051749993547887119e-01,4.696298156445319338e-01,4.887081965510919890e-01,8.001620753903438965e-01,8.082822904477285908e-01,5.050227878322053471e-02,9.446816629844565494e-01,1.000637584620125198e+00,3.348836197284271177e-01
7.037370377149319012e-01,4.845754117760069368e-01,5.010737695691827032e-01,1.910598773748537760e-01,5.024785012825849773e-01,4.687926309464640062e-01,4.877487484296122444e-01,8.001620753903438965e-01,8.087905859914623630e-01,5.050227878322053471e-02,9.418155318512437812e-01,9.857428165669717135e-01,3.246306481946557021e-01
6.957748028517449779e-01,4.875863676963558269e-01,5.021777272309299045e-01,2.229040135645410092e-01,4.995919489375492129e-01,4.705182005665629608e-01,4.899427496707746132e-01,8.001620753903438965e-01,8.091157933450860984e-01,5.050227878322053471e-02,9.381900811462535739e-01,9.710457339758190587e-01,3.116770030372680300e-01
6.878125750482252387e-01,4.905251445378799868e-01,5.041213633140599892e-01,2.547482072818955667e-01,5.001836470193149475e-01,4.706492491994063720e-01,4.902896431242684816e-01,8.001620753903438965e-01,8.093238609233969205e-01,5.050227878322053471e-02,9.333933073612230569e-01,9.565759796997893583e-01,3.003788960640360606e-01
6.798503574871105348e-01,4.937309689322096906e-01,5.057664134945788481e-01,2.865924324599275486e-01,5.037660762121348723e-01,4.714806332331341610e-01,4.917063460702616462e-01,8.001620753903438965e-01,8.094569825046334932e-01,5.050227878322053471e-02,9.276972038465132187e-01,9.423023309850665497e-01,2.882417619323583424e-01
6.718881516581706181e-01,4.965385667220353350e-01,5.061199667891238541e-01,3.184368123731140532e-01,5.097128419564604940e-01,4.725768428812842648e-01,4.935189489817475850e-01,8.001620753903438965e-01,8.095421536568850884e-01,5.050227878322053471e-02,9.210574072774472265e-01,9.283470338600408045e-01,2.768128971640543279e-01
6.639259602601278454e-01,5.004801985884996807e-01,5.078238283630400751e-01,3.502806423275885428e-01,5.142252006028802391e-01,4.731073732802317799e-01,4.953801706629488155e-01,8.001620753903438965e-01,8.095966461374315415e-01,5.050227878322052777e-02,9.135580196596232438e-01,9.149455016646906858e-01,2.628793224580388554e-01
