act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven,act_finger_lt0,act_finger_rg0,act_finger_md0,act_finger_if0,act_finger_if1,act_finger_if2,act_finger_tb0,act_finger_tb1,act_finger_tb2
7.420372750331756251e-01,4.920392936943949747e-01,4.999660474691917655e-01,3.184137007077256221e-02,5.063157299310486748e-01,5.060563358534384548e-01,4.861466685705341795e-01,4.377176678791540321e-03,6.015949383223223590e-03,9.897324450687321543e-03,1.160630366596915832e-08,2.376286565260249742e-02,2.060678052873847960e-08,5.000637250234429843e-01,1.949064707805854210e-02,1.608457282356189899e-01
7.340750674696121525e-01,4.856761948467246404e-01,4.977652713167562970e-01,6.368458126344818393e-02,5.029984258862104651e-01,5.109882075482021779e-01,4.701803992024528034e-01,5.127088958877119330e-03,7.434532506686695845e-03,1.237294732529338817e-02,8.439425276504363422e-09,2.867096570021751903e-02,2.235540337057680532e-08,5.000159276190911939e-01,2.436788603273576381e-02,1.853903863965612464e-01
7.261128346117708965e-01,4.836828866227297907e-01,4.977477259774620300e-01,9.552894452469253006e-02,4.985296372799421505e-01,5.122197566261114110e-01,4.581452870418926127e-01,5.228347653934680220e-03,7.789272277293182202e-03,1.290575237591775302e-02,7.595773905519064568e-09,3.179600255500492773e-02,2.438701515548125869e-08,5.000039824477496841e-01,2.420742841214085922e-02,1.863539547950497643e-01
7.181505920549962063e-01,4.847408846024108264e-01,4.995595011072544445e-01,1.273728978643594301e-01,4.987392725745972144e-01,5.183874141981756889e-01,4.611470317887307324e-01,5.684975800232180965e-03,8.740585835651180566e-03,1.502299641614862798e-02,6.830343519778336043e-09,3.378498583800828431e-02,2.973788121168078272e-08,5.000009970391369185e-01,2.554745811862164928e-02,1.758980248631093202e-01
7.101883523731838954e-01,4.870950254648249156e-01,4.989854634169770264e-01,1.592169450819914678e-01,5.066207760306083996e-01,5.225371019426943153e-01,4.670246984026892867e-01,6.316680188929828244e-03,9.840987503902012823e-03,1.857132516910457026e-02,5.886577565502858773e-09,3.721497317634030882e-02,3.499131690738268844e-08,5.000002506112063427e-01,2.059195106276034970e-02,1.525830660146539619e-01
7.022261061956457384e-01,4.888887669867183483e-01,4.972794945334443328e-01,1.910612016290198500e-01,5.127933316311554801e-01,5.093520409923526504e-01,4.770594616653996978e-01,7.164700852579519545e-03,1.054746501837175963e-02,2.101131770460416479e-02,6.414628057724013628e-09,3.721025752073119780e-02,3.859753697332243981e-08,5.000000641352178032e-01,1.291226206334499665e-02,1.502012761520685746e-01
6.942638768479297839e-01,4.908186269623963649e-01,4.957660023816095607e-01,2.229056343176473443e-01,5.129862939446465653e-01,4.997966010914135504e-01,4.828310732086663060e-01,7.376780996887173820e-03,1.046533539123781741e-02,2.075883982581541373e-02,4.940018290097424609e-09,3.410348321423644496e-02,4.183777240884356071e-08,5.000000173780152490e-01,8.921184591848785664e-03,1.489168220911426810e-01
6.863016546502216375e-01,4.920878880896285557e-01,4.944331168382944952e-01,2.547501800468888744e-01,5.144798210316160469e-01,4.994095947155708370e-01,4.840236381077212546e-01,7.343520804587863431e-03,1.035851690563835935e-02,1.966048784497066368e-02,4.905772794769046880e-09,3.142890704298011845e-02,4.546124276023062246e-08,5.000000056619191557e-01,7.463581237243453563e-03,1.427299702683944294e-01
6.783394382911356324e-01,4.932759503493391318e-01,4.942325057366199759e-01,2.865947082551441594e-01,5.163383825180687392e-01,4.988959544056494333e-01,4.847764328526923960e-01,7.335201837440893068e-03,1.033180901720843342e-02,1.938587589274432324e-02,5.611229820897944149e-09,3.076024091051703796e-02,4.922009863617174959e-08,5.000000027952027359e-01,7.099220208286236185e-03,1.411831352063371292e-01
6.703772358495172501e-01,4.940643638683183125e-01,4.934888262936873438e-01,3.184392128236305797e-01,5.167931053695711263e-01,4.984117964417291158e-01,4.853922938338380844e-01,7.333121616946636744e-03,1.032513215743920132e-02,1.931722396007161738e-02,5.772344498053127166e-09,3.059308116461450372e-02,5.253884231285922326e-08,5.000000020824661995e-01,7.008138922025686397e-03,1.407964301336932511e-01
6.624150470539675872e-01,4.955709743237259324e-01,4.940700580708265455e-01,3.502836103823411262e-01,5.170603910503732692e-01,5.009394427543470973e-01,4.894034256595601318e-01,7.073811428188399829e-03,1.015094013852554586e-02,1.852369316263935764e-02,5.796452324899047665e-09,2.951613187708117952e-02,5.572093383628699258e-08,5.000000018952533987e-01,6.065228013316369474e-03,1.286230185967078554e-01
6.544528765302844997e-01,4.984122381590975204e-01,4.949213038360869565e-01,3.821277990272742286e-01,5.173561534602932888e-01,5.011590380883851337e-01,4.907487695295245644e-01,7.440296288135449417e-03,1.097000977105835537e-02,1.892913850413922502e-02,5.793366793069009430e-09,2.976446822491675415e-02,5.883221308448630083e-08,5.000000018342544150e-01,5.599463428063222725e-03,1.238542868166110367e-01
6.464907234423461491e-01,5.013876043654702519e-01,4.958125432293327695e-01,4.139721533095233608e-01,5.178928820255398469e-01,5.016462135296290148e-01,4.919004644800911152e-01,9.084649120960809274e-03,1.298630165907358781e-02,2.153211735358379758e-02,5.698322820376899029e-09,3.120675825380245239e-02,6.159103577695778579e-08,5.000000018131013357e-01,5.252983401783024517e-03,1.254223981391291709e-01
6.385285899653446728e-01,5.040898141281432432e-01,4.968339921089786060e-01,4.458165953814064997e-01,5.186459125043225704e-01,5.010518988241829952e-01,4.918094293140707896e-01,9.840812653358378681e-03,1.400798097238624765e-02,2.209663993716451044e-02,5.707675339136341348e-09,3.156735108564122372e-02,6.378223998508592567e-08,5.000000018157585435e-01,4.706290744443637937e-03,1.261594993800657927e-01
6.305664783434804521e-01,5.061124503236430483e-01,4.963564004142180797e-01,4.776611319757032570e-01,5.194577678573578661e-01,5.004452149223319601e-01,4.917272331077338077e-01,1.011611691888236568e-02,1.460845455052792868e-02,2.197897932235675159e-02,5.741969684277802583e-09,3.131244430285594349e-02,6.562441499594820712e-08,5.000000018238042188e-01,4.109544576537519679e-03,1.263437758148948653e-01
6.237604329000409065e-01,5.078475347345162705e-01,4.958961927780073942e-01,5.095060599022960268e-01,5.206454765845199839e-01,4.996677448293265766e-01,4.917657660801753594e-01,1.027120702114276210e-02,1.501736469511033394e-02,2.177703961184287648e-02,7.290886234853343479e-09,3.107619008995131382e-02,6.766225099751302980e-08,5.000000020553039271e-01,3.730320840718796306e-03,1.263898416915846534e-01
6.211462736405196639e-01,5.088546429436107132e-01,4.959238984732471933e-01,5.413514522322454559e-01,5.223599051799339144e-01,4.972299338841745797e-01,4.923152552158590600e-01,1.056876541760889444e-02,1.537838056353082322e-02,2.155403032123564405e-02,8.013196446496050624e-09,3.049955570104577462e-02,6.911214485592997948e-08,5.000000021542899686e-01,3.635511498984138855e-03,1.277815174572551338e-01
6.199534443726607558e-01,5.100528391462286759e-01,4.950825884885947104e-01,5.731964472387863774e-01,5.237981592627241056e-01,4.940996956091860404e-01,4.939859621039261461e-01,1.124698943890233872e-02,1.589995103177098759e-02,2.167078144787348837e-02,6.846298756909829093e-09,2.966528682634349268e-02,6.851661945210560743e-08,5.000000020012016488e-01,3.841833079619080653e-03,1.326150167148162640e-01
