arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z,finger_lt0,finger_rg0,finger_md0,finger_if0,finger_if1,finger_if2,finger_tb0,finger_tb1,finger_tb2
7.499993265610236381e-01,4.999993306017355144e-01,4.999996265627610348e-01,-7.359865707678708493e-07,5.000001709032273478e-01,5.000080142973041264e-01,4.984140107374444573e-01,7.001721762520015657e-01,7.964866964390959758e-01,5.049463100229050622e-02,9.491837670579850172e-01,1.072390007877011886e+00,2.514736713091707543e-01,-1.545969446267636191e-09,5.556306078517083256e-09,3.808697637216418251e-09,3.362914448624774940e-08,3.206337995354865627e-09,1.373091712329533409e-08,5.002547878498980749e-01,2.035625212439660333e-09,5.343122486846031564e-08
7.474369698778016158e-01,4.963991113159222368e-01,4.956754181179887087e-01,1.559630786334166054e-02,5.028015583167807501e-01,4.976950821946438674e-01,4.950022250796943801e-01,7.001721762520015657e-01,8.012614005422040719e-01,5.049463100229050622e-02,9.527342803451090969e-01,1.068547944562799223e+00,2.681516113919807376e-01,1.617313503455858163e-03,1.444797142603295543e-03,4.463791058831221084e-03,1.273298412863919856e-08,8.755109176960419043e-03,2.033796691874578301e-08,5.000637188931219557e-01,2.261856791452064543e-09,1.285574948472950063e-01
7.447130532934439495e-01,4.944452516563602740e-01,4.954200053387379787e-01,3.108582451527761026e-02,5.045180535981130809e-01,4.997676068736234822e-01,4.954495643278957751e-01,7.001721762520015657e-01,8.042986226695517660e-01,5.049463100229050622e-02,9.548262497780279912e-01,1.064600631259552177e+00,2.771021837973412505e-01,2.108037638361143565e-03,1.806116059684206333e-03,5.752615331611893312e-03,7.707763888709958508e-09,1.180715797225519344e-02,2.515922539804297294e-08,5.000159312924259414e-01,3.649514842728677965e-09,1.862870656466175112e-01
7.367509255871941276e-01,4.875986864001174426e-01,4.998518756647944428e-01,6.292727767424065310e-02,5.039819975011132769e-01,5.015056976093330565e-01,4.878766871361316926e-01,7.001721762520015657e-01,8.062418364070389476e-01,5.049463100229050622e-02,9.539144086226212238e-01,1.047880631665681461e+00,3.092508718744567120e-01,3.007000386233350982e-03,2.586475558772064615e-03,6.851072531969476867e-03,5.939938436780022597e-09,1.326010221198222969e-02,2.968967986783883269e-08,5.000039839596792657e-01,2.920375639037409318e-09,2.383225317706403334e-01
7.287886799734001331e-01,4.796376653817889246e-01,5.040527161569220427e-01,9.477040129677777314e-02,5.025334726979615585e-01,5.061067886790134862e-01,4.784125570561115759e-01,7.001721762520015657e-01,8.074851040391931578e-01,5.049463100229049928e-02,9.499741293806680531e-01,1.030447370437316934e+00,3.476380150167091565e-01,3.663082752687087367e-03,3.471649559123634807e-03,7.125804742700144780e-03,6.282921856223521457e-09,1.345101226658043138e-02,3.200890001123948549e-08,5.000009968359820922e-01,3.622452100649540749e-03,2.516882178839088824e-01
7.208264303059946920e-01,4.722313089319992163e-01,5.104845393127078745e-01,1.266141361784862696e-01,4.987529009821261017e-01,5.101719013759362653e-01,4.762313968210916681e-01,7.001721762520015657e-01,8.082805463394124867e-01,5.049463100229050622e-02,9.428861565026551705e-01,1.015704365134382448e+00,3.849386878448789462e-01,3.654674745880394024e-03,4.383038885826048489e-03,7.367003584833151965e-03,6.683052451547365775e-09,1.470623915673363417e-02,3.209399270693939555e-08,5.000002504223579614e-01,1.234817062172738691e-02,2.046606316839899853e-01
7.128641975965892552e-01,4.696507833767547546e-01,5.148387330517307792e-01,1.584594591214974757e-01,4.991760425486738151e-01,5.108523790353417526e-01,4.744783909794040855e-01,7.001721762520015657e-01,8.087894701114258789e-01,5.049463100229049928e-02,9.369650301597611808e-01,1.001425087537049397e+00,4.002859356862974449e-01,3.652545788012444457e-03,4.611009597850278946e-03,7.427329167603629635e-03,5.857304092967962346e-09,1.502024595259926661e-02,3.327596825090143194e-08,5.000000638475315951e-01,1.453130781388401252e-02,1.928961668447957134e-01
7.049019674274333846e-01,4.679348091265640441e-01,5.163256694847462303e-01,1.903042315050087752e-01,5.025796029053074543e-01,5.124789763875595705e-01,4.769762997037061969e-01,7.001721762520015657e-01,8.091150794053355577e-01,5.049463100229049928e-02,9.312222358506170306e-01,9.875082882712090671e-01,4.101678433360945730e-01,3.048184553813521741e-03,4.667995454512278812e-03,8.218766036472487102e-03,5.989663105606934108e-09,1.578882735419720462e-02,3.833661287326384024e-08,5.000000172701566381e-01,3.633077700749537137e-03,1.237112081070071701e-01
6.969397462736846016e-01,4.669043543532767626e-01,5.158864261931453976e-01,2.221487075796067523e-01,5.057295730536659484e-01,5.100530798630786844e-01,4.743497414123133415e-01,7.001721762520015657e-01,8.093234041449345328e-01,5.049463100229049928e-02,9.255360317859364638e-01,9.739101809321301095e-01,4.152009056691828293e-01,2.897072056359834436e-03,4.595989326309851512e-03,8.330392712031000832e-03,5.987628288847401121e-09,1.546343711576528279e-02,4.297642036556385121e-08,5.000000056563772555e-01,9.080681416521063252e-04,1.043375845979533367e-01
6.889775357972436343e-01,4.658073278903239189e-01,5.133349296261346950e-01,2.539927668920246573e-01,5.086564603446999122e-01,5.061437910198550716e-01,4.698855404380413159e-01,7.001721762520015657e-01,8.094566902578947953e-01,5.049463100229049928e-02,9.195823513242578073e-01,9.606787225496400406e-01,4.178323147900984136e-01,2.859295749338561666e-03,4.491727398219499089e-03,8.099521040883791295e-03,5.982531032896742102e-09,1.451946737087253525e-02,4.707851783883049439e-08,5.000000028268172247e-01,2.268112126792603731e-04,9.880416223217762528e-02
